,e_cblp,e_cp,e_cparhdr,e_maxalloc,e_sp,e_lfanew,NumberOfSections,CreationYear,FH_char0,FH_char1,FH_char2,FH_char3,FH_char4,FH_char5,FH_char6,FH_char7,FH_char8,FH_char9,FH_char10,FH_char11,FH_char12,FH_char13,FH_char14,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,OH_DLLchar0,OH_DLLchar1,OH_DLLchar2,OH_DLLchar3,OH_DLLchar4,OH_DLLchar5,OH_DLLchar6,OH_DLLchar7,OH_DLLchar8,OH_DLLchar9,OH_DLLchar10,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,sus_sections,non_sus_sections,packer,packer_type,E_text,E_data,filesize,E_file,class,fileinfo
45,144,3,4,0.1961161351381838,0.19611613513818388,200,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,-0.34430462100201153,-0.1514346159848648,-0.16476611598274354,-0.24832512063050596,-0.1636622188632721,-0.2684897197358652,1,1,1,4,0,-0.09939093875678243,0,4,0,1,1,-0.4266063921330201,2,0,0,0,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.32842501729819623,0.0,0.0,NoPacker,0.0,0.0,-0.46991422658082327,-1.434442806225588,0.0,
46,144,3,4,0.1961161351381838,0.19611613513818388,272,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,14,0.0892216220306956,-0.147524798742311,-0.16525095987479674,-0.24809689683617764,-0.1636622188632721,-0.05655638963257388,1,1,1,6,0,-0.16315859055321313,0,6,0,1,1,-0.4266063921330201,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,0.6850007503648097,0.0,1.0,MicrosoftVisualCV80Debug,0.0,0.0,-0.43117327667086064,-3.159000093070647,1.0,
47,144,3,4,0.1961161351381838,0.19611613513818388,128,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,12,-0.2985713612601219,-0.15915045001220543,-0.16525095987479674,-0.22064948613668428,-0.1636622188632721,-0.24521380486902977,1,1,1,5,1,-0.16315859055321313,0,5,1,1,1,-0.4184767947982935,2,1,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,4.962295398741959,0.1373605639486888,1,0.17828786653330672,0.0,0.0,NoPacker,0.0,0.0,-0.46614318620914524,-0.42498172798081724,1.0,
48,144,3,4,0.1961161351381838,0.19611613513818388,232,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,-0.28478873503653873,-0.1502236106442508,-0.16525095987479674,-0.23465116806792286,-0.1636622188632721,-0.2390885641145994,1,1,1,5,0,-0.16315859055321313,0,5,0,1,1,-0.4106488313771121,3,0,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.8351379011296992,0.0,0.0,NoPacker,0.0,0.0,-0.45937259593584506,-0.6886310936976056,1.0,
49,144,3,4,0.1961161351381838,0.19611613513818388,240,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,-0.25471755054872086,-0.1294635190908679,-0.16525095987479674,-0.2459753284441016,-0.1636622188632721,-0.22438798630396645,1,1,1,5,0,-0.16315859055321313,0,5,0,1,1,-0.414326288989838,2,0,0,0,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.8351379011296992,0.0,0.0,NoPacker,0.0,0.0,-0.4634212539363764,-0.517110166710805,1.0,
50,144,3,4,0.1961161351381838,0.19611613513818388,128,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,-0.317365851565008,-0.16247206466074668,-0.16525095987479674,-0.22889262528943072,-0.16172326322074979,-0.25256409377434624,1,1,1,4,0,-0.16315859055321313,0,4,0,1,1,-0.4266063921330201,2,1,0,1,0,1,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-1.3418507849612022,0.0,1.0,NETexecutableMicrosoft,0.0,0.0,-0.47004154683709387,-2.764070655743018,1.0,
51,144,3,4,0.1961161351381838,0.19611613513818388,240,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,-0.25471755054872086,-0.1294635190908679,-0.16525095987479674,-0.2459753284441016,-0.1636622188632721,-0.22438798630396645,1,1,1,5,0,-0.16315859055321313,0,5,0,1,1,-0.41655503093629714,2,0,0,0,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.8351379011296992,0.0,0.0,NoPacker,0.0,0.0,-0.4634212539363764,-0.5162620234712615,1.0,
52,144,3,4,0.1961161351381838,0.19611613513818388,232,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,-0.25471755054872086,-0.1294635190908679,-0.16525095987479674,-0.2459753284441016,-0.1636622188632721,-0.22438798630396645,1,1,1,5,0,-0.16315859055321313,0,5,0,1,1,-0.41531496060960804,2,0,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.8351379011296992,0.0,0.0,NoPacker,0.0,0.0,-0.4634212539363764,-0.5283219872412118,1.0,
53,144,3,4,0.1961161351381838,0.19611613513818388,240,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,-0.25409106753855804,-0.1294635190908679,-0.16525095987479674,-0.2459753284441016,-0.1636622188632721,-0.22438798630396645,1,1,1,5,0,-0.16315859055321313,0,5,0,1,1,-0.4167674617302748,2,0,0,1,0,0,0,0,1,0,0,0.0,-0.12576392677722678,-0.6139091318025435,-0.15803488531025342,0.1373605639486888,1,-0.8351379011296992,0.0,0.0,NoPacker,0.0,0.0,-0.46337511949107524,-0.5055387168086053,1.0,
54,144,3,4,0.1961161351381838,0.19611613513818388,224,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,13,-0.34367813799184865,-0.11797626843132936,-0.16525095987479674,-0.24386836637486256,-0.1636622188632721,-0.26726467158497913,1,1,1,10,0,-0.056879170892495286,0,6,0,1,1,-0.39593601709744614,2,1,0,1,0,0,0,0,1,0,0,1.0,-1.692975937385747,0.12278182636050876,-0.15803488531025342,0.1373605639486888,1,-0.32842501729819623,0.0,0.0,NoPacker,0.0,0.0,-0.44229167798844193,0.5523223856576714,1.0,
